County,2010,2011,2012,2013,2014
"Union County, South Dakota",14480,14601,14841,14804,15029
"Walworth County, South Dakota",5446,5569,5460,5505,5511
"Yankton County, South Dakota",22455,22507,22591,22664,22684
"Ziebach County, South Dakota",2820,2837,2869,2835,2826
"Anderson County, Tennessee",75146,75212,75349,75494,75528
"Bedford County, Tennessee",45112,45313,45400,45849,46627
"Benton County, Tennessee",16500,16428,16369,16282,16145
"Bledsoe County, Tennessee",12866,12834,12781,13786,13931
"Blount County, Tennessee",123151,123625,124016,125045,126339
"Bradley County, Tennessee",99142,99911,101117,101873,102975
"Campbell County, Tennessee",40704,40559,40429,40195,39918
"Cannon County, Tennessee",13793,13742,13842,13797,13757
"Carroll County, Tennessee",28479,28587,28623,28496,28370
"Carter County, Tennessee",57384,57511,57376,57331,56886
"Cheatham County, Tennessee",39116,39009,39275,39457,39764
"Chester County, Tennessee",17174,17216,17225,17354,17379
"Claiborne County, Tennessee",32230,32074,31716,31593,31592
"Clay County, Tennessee",7848,7823,7800,7775,7765
"Cocke County, Tennessee",35653,35394,35488,35354,35374
"Coffee County, Tennessee",52787,52894,53137,53316,53623
"Crockett County, Tennessee",14571,14543,14602,14613,14668
"Cumberland County, Tennessee",56206,56600,57037,57492,57985
"Davidson County, Tennessee",628045,635663,649142,659042,668347
"Decatur County, Tennessee",11721,11673,11648,11665,11666
"DeKalb County, Tennessee",18727,18802,18920,19123,19268
"Dickson County, Tennessee",49708,49944,50167,50183,50575
"Dyer County, Tennessee",38321,38139,38223,38160,37935
"Fayette County, Tennessee",38404,38525,38609,38772,39011
"Fentress County, Tennessee",17915,18009,17911,17919,17855
"Franklin County, Tennessee",40989,40871,40785,41297,41402
"Gibson County, Tennessee",49726,49859,49670,49434,49472
"Giles County, Tennessee",29403,29332,28948,28783,28853
"Grainger County, Tennessee",22702,22722,22640,22694,22864
"Greene County, Tennessee",68812,68962,68634,68235,68335
"Grundy County, Tennessee",13721,13630,13630,13466,13425
"Hamblen County, Tennessee",62607,62862,62733,63078,63036
"Hamilton County, Tennessee",337197,340755,345657,349030,351220
"Hancock County, Tennessee",6817,6715,6679,6662,6657
"Hardeman County, Tennessee",27167,26851,26532,26287,25965
"Hardin County, Tennessee",26052,25890,26025,26006,25870
"Hawkins County, Tennessee",56883,56657,56601,56831,56735
"Haywood County, Tennessee",18764,18533,18243,18218,18185
"Henderson County, Tennessee",27789,28023,28019,27973,28009
"Henry County, Tennessee",32354,32333,32334,32171,32204
"Hickman County, Tennessee",24669,24359,24152,24207,24384
"Houston County, Tennessee",8450,8346,8423,8295,8267
"Humphreys County, Tennessee",18563,18388,18280,18245,18135
"Jackson County, Tennessee",11607,11518,11529,11551,11568
"Jefferson County, Tennessee",51610,51938,52309,52296,52677
"Johnson County, Tennessee",18281,18207,18119,17977,17859
"Knox County, Tennessee",433005,436523,441136,444350,448644
"Lake County, Tennessee",7817,7770,7703,7706,7631
"Lauderdale County, Tennessee",27760,27703,27681,27571,27382
"Lawrence County, Tennessee",41990,42053,42129,41973,42274
"Lewis County, Tennessee",12152,12136,11899,11956,11906
"Lincoln County, Tennessee",33414,33407,33436,33596,33637
"Loudon County, Tennessee",48735,49059,49743,50438,50771
"McMinn County, Tennessee",52224,52378,52452,52363,52626
"McNairy County, Tennessee",26052,26042,26171,26160,26267
"Macon County, Tennessee",22260,22477,22512,22658,23003
"Madison County, Tennessee",98298,98044,98551,98751,98178
"Marion County, Tennessee",28236,28082,28227,28353,28407
"Marshall County, Tennessee",30682,30900,30934,31098,31269
"Maury County, Tennessee",81191,81395,81944,83600,85515
"Meigs County, Tennessee",11778,11664,11678,11650,11701
"Monroe County, Tennessee",44605,44895,45108,45169,45233
"Montgomery County, Tennessee",173255,176769,185360,184729,189961
"Moore County, Tennessee",6350,6412,6348,6313,6319
"Morgan County, Tennessee",21995,22056,21945,21672,21660
"Obion County, Tennessee",31814,31685,31351,31100,30941
"Overton County, Tennessee",22088,22177,22211,22039,22028
"Perry County, Tennessee",7919,7834,7830,7851,7822
"Pickett County, Tennessee",5069,5140,5088,5083,5124
"Polk County, Tennessee",16823,16746,16613,16664,16730
"Putnam County, Tennessee",72542,72852,73071,73553,74165
"Rhea County, Tennessee",31877,32018,32307,32515,32641
"Roane County, Tennessee",54129,53792,53426,52971,52748
"Robertson County, Tennessee",66364,66668,66719,67288,68079
"Rutherford County, Tennessee",263774,269046,274208,281373,288906
"Scott County, Tennessee",22241,22116,22166,22009,21987
"Sequatchie County, Tennessee",14131,14277,14417,14624,14704
"Sevier County, Tennessee",90135,91336,92532,93693,95110
"Shelby County, Tennessee",928786,933756,939942,939365,938803
"Smith County, Tennessee",19125,19146,19120,19061,19009
"Stewart County, Tennessee",13351,13244,13336,13345,13279
"Sullivan County, Tennessee",156856,156978,156673,156694,157047
"Sumner County, Tennessee",161276,163929,166156,169114,172706
"Tipton County, Tennessee",61121,61279,61576,61564,61623
"Trousdale County, Tennessee",7874,7820,7791,7806,8002
"Unicoi County, Tennessee",18290,18294,18251,18077,17963
"Union County, Tennessee",19120,19237,19133,19092,19113
"Van Buren County, Tennessee",5552,5526,5620,5561,5633
"Warren County, Tennessee",39859,39885,39755,39866,39969
"Washington County, Tennessee",123302,123989,124897,125561,126242
"Wayne County, Tennessee",16985,17001,16990,16946,16913
"Weakley County, Tennessee",35026,34962,34712,34424,34373
"White County, Tennessee",25816,26020,26060,26231,26301
"Williamson County, Tennessee",184068,188299,193037,198975,205226
"Wilson County, Tennessee",114650,116791,119088,122016,125376
"Anderson County, Texas",58478,58353,58026,57934,57627
"Andrews County, Texas",14835,15393,16119,16808,17477
"Angelina County, Texas",86920,87299,87585,87613,87750
"Aransas County, Texas",23204,23335,23707,24229,24972
"Archer County, Texas",9103,8830,8772,8750,8811
"Armstrong County, Texas",1902,1934,1948,1957,1955
"Atascosa County, Texas",44955,45463,46436,47085,47774
"Austin County, Texas",28423,28652,28622,28811,29114
"Bailey County, Texas",7156,7175,7101,7080,6910
"Bandera County, Texas",20551,20554,20608,20607,20892
"Bastrop County, Texas",74336,75151,74886,76099,78069
"Baylor County, Texas",3717,3711,3615,3605,3592
"Bee County, Texas",31901,32321,32451,32773,32863
"Bell County, Texas",312874,316164,323147,326632,329140
"Bexar County, Texas",1723035,1755526,1788858,1822154,1855866
"Blanco County, Texas",10509,10554,10616,10634,10812
"Borden County, Texas",643,628,613,639,652
"Bosque County, Texas",18258,18247,18111,17862,17780
"Bowie County, Texas",92656,92879,93088,93442,93275
"Brazoria County, Texas",314452,319444,324697,330670,338124
"Brazos County, Texas",195680,197649,200567,204621,209152
"Brewster County, Texas",9275,9359,9254,9289,9173
"Briscoe County, Texas",1626,1643,1560,1544,1536
"Brooks County, Texas",7210,7213,7168,7215,7194
"Brown County, Texas",38097,38001,37857,37908,37653
"Burleson County, Texas",17210,17236,17316,17163,17253
"Burnet County, Texas",42789,43366,44078,44380,44943
"Caldwell County, Texas",38116,38467,38711,39248,39810
"Calhoun County, Texas",21336,21359,21567,21785,21797
"Callahan County, Texas",13516,13534,13515,13518,13513
"Cameron County, Texas",407672,413188,416048,418217,420392
"Camp County, Texas",12404,12408,12460,12422,12621
"Carson County, Texas",6164,6270,6109,5986,6013
"Cass County, Texas",30432,30503,30187,30369,30261
"Castro County, Texas",8111,8048,8179,8012,7781
"Chambers County, Texas",35406,35597,36388,37215,38145
"Cherokee County, Texas",50872,50965,51152,50965,50902
"Childress County, Texas",7064,7019,7096,7063,7089
"Clay County, Texas",10734,10682,10512,10436,10370
"Cochran County, Texas",3139,3071,3017,2995,2935
"Coke County, Texas",3323,3285,3224,3215,3254
"Coleman County, Texas",8888,8749,8675,8536,8430
"Collin County, Texas",788568,814738,837476,858711,885241
"Collingsworth County, Texas",3052,3090,3020,3087,3017
"Colorado County, Texas",20877,20799,20685,20776,20719
"Comal County, Texas",109284,112076,115097,118891,123694
"Comanche County, Texas",13986,13903,13746,13591,13550
"Concho County, Texas",4096,4137,4065,4106,4050
"Cooke County, Texas",38445,38375,38733,38475,38761
"Coryell County, Texas",75588,76624,77136,76471,75562
"Cottle County, Texas",1500,1503,1479,1442,1415
"Crane County, Texas",4376,4363,4567,4755,4950
"Crockett County, Texas",3706,3673,3716,3772,3812
"Crosby County, Texas",6048,6088,6099,5992,5899
"Culberson County, Texas",2397,2373,2303,2288,2266
"Dallam County, Texas",6761,6846,6996,7047,7135
"Dallas County, Texas",2373360,2409942,2456693,2486083,2518638
"Dawson County, Texas",13850,13805,13663,13273,13372
"Deaf Smith County, Texas",19440,19476,19358,19187,19195
"Delta County, Texas",5241,5204,5307,5205,5238
"Denton County, Texas",666938,685718,707962,729152,753363
"DeWitt County, Texas",20049,20296,20456,20501,20684
"Dickens County, Texas",2454,2408,2325,2288,2218
"Dimmit County, Texas",10033,10114,10510,10939,11089
"Donley County, Texas",3724,3679,3652,3580,3543
"Duval County, Texas",11721,11791,11573,11600,11533
"Eastland County, Texas",18600,18582,18403,18253,18176
"Ector County, Texas",137098,139690,144444,149522,153904
"Edwards County, Texas",1993,1967,1968,1879,1879
"Ellis County, Texas",150431,152462,153826,156198,159317
"El Paso County, Texas",803627,819726,831144,831324,833487
"Erath County, Texas",37878,38972,39456,40003,40147
"Falls County, Texas",17876,17862,17600,17292,16989
"Fannin County, Texas",33902,33911,33667,33644,33752
"Fayette County, Texas",24538,24751,24720,24785,24833
"Fisher County, Texas",3953,3953,3833,3838,3831
"Floyd County, Texas",6403,6376,6349,6239,5949
"Foard County, Texas",1335,1351,1305,1270,1275
"Fort Bend County, Texas",590619,607501,626704,654561,685345
"Franklin County, Texas",10606,10544,10636,10612,10600
"Freestone County, Texas",19810,19622,19481,19629,19762
"Frio County, Texas",17243,17458,17829,18172,18531
"Gaines County, Texas",17572,18064,18452,18965,19425
"Galveston County, Texas",292574,295673,301469,307465,314198
"Garza County, Texas",6460,6576,6450,6405,6435
"Gillespie County, Texas",24870,25022,25150,25334,25520
"Glasscock County, Texas",1228,1231,1256,1245,1291
"Goliad County, Texas",7221,7206,7338,7469,7549
"Gonzales County, Texas",19821,19795,19971,20219,20462
"Gray County, Texas",22466,22584,22833,22929,23044
"Grayson County, Texas",121086,121283,121631,122343,123534
"Gregg County, Texas",121958,122430,122896,123194,123204
"Grimes County, Texas",26593,26691,26724,26881,27172
"Guadalupe County, Texas",132552,135837,139714,143191,147250
"Hale County, Texas",36355,36423,36316,35809,34720
"Hall County, Texas",3356,3322,3298,3226,3147
"Hamilton County, Texas",8485,8412,8290,8262,8199
"Hansford County, Texas",5605,5571,5502,5515,5509
"Hardeman County, Texas",4153,4117,4048,4006,3928
"Hardin County, Texas",54821,55062,55149,55421,55621
"Harris County, Texas",4108909,4181948,4263060,4352752,4441370
"Harrison County, Texas",65711,67338,67284,67185,67336
"Hartley County, Texas",6060,6084,6153,6070,6089
"Haskell County, Texas",5875,5966,5880,5884,5769
"Hays County, Texas",158307,163380,168855,176483,185025
"Hemphill County, Texas",3798,3962,4082,4139,4180
"Henderson County, Texas",78648,78684,78942,78618,79290
"Hidalgo County, Texas",779194,795303,807725,818942,831073
"Hill County, Texas",35128,35191,35109,34858,34848
"Hockley County, Texas",22839,22965,23122,23520,23577
"Hood County, Texas",51291,51491,52136,52897,53921
"Hopkins County, Texas",35215,35333,35420,35499,35921
"Houston County, Texas",23693,23368,23149,22806,22741
"Howard County, Texas",35027,35018,35536,36277,36651
"Hudspeth County, Texas",3462,3408,3333,3306,3211
"Hunt County, Texas",86313,86732,87211,87532,88493
"Hutchinson County, Texas",22212,21972,21948,21832,21773
"Irion County, Texas",1610,1606,1576,1609,1574
"Jack County, Texas",9018,9048,9005,8911,8855
"Jackson County, Texas",14070,14015,14249,14607,14739
"Jasper County, Texas",35816,36247,35856,35659,35552
"Jeff Davis County, Texas",2351,2308,2312,2236,2204
"Jefferson County, Texas",252495,253384,251404,252814,252235
"Jim Hogg County, Texas",5292,5282,5265,5236,5255
"Jim Wells County, Texas",40880,41195,41644,41669,41353
"Johnson County, Texas",151297,152037,153530,154952,157456
"Jones County, Texas",20263,20281,19910,20068,19936
"Karnes County, Texas",14865,14970,14896,14782,14906
"Kaufman County, Texas",103871,105287,106680,108521,111236
"Kendall County, Texas",33651,34532,35759,37469,38880
"Kenedy County, Texas",418,435,432,415,400
"Kent County, Texas",812,823,839,801,785
"Kerr County, Texas",49641,49636,49798,49932,50562
"Kimble County, Texas",4583,4593,4534,4462,4438
"King County, Texas",288,258,271,273,262
"Kinney County, Texas",3601,3611,3628,3623,3526
"Kleberg County, Texas",32095,32098,32180,32149,32190
"Knox County, Texas",3729,3747,3768,3777,3858
"Lamar County, Texas",49844,49975,49856,49320,49523
"Lamb County, Texas",14010,14105,13931,13757,13574
"Lampasas County, Texas",19755,19927,20081,20179,20156
"La Salle County, Texas",6898,6989,7126,7429,7474
"Lavaca County, Texas",19244,19227,19455,19543,19721
"Lee County, Texas",16605,16601,16548,16587,16742
"Leon County, Texas",16758,16846,16763,16694,16861
"Liberty County, Texas",75831,76042,76511,77033,78117
"Limestone County, Texas",23474,23571,23664,23422,23524
"Lipscomb County, Texas",3283,3343,3432,3479,3553
"Live Oak County, Texas",11545,11518,11668,11868,12091
"Llano County, Texas",19359,18964,19121,19406,19510
"Loving County, Texas",83,95,83,103,86
"Lubbock County, Texas",280207,283399,286096,290060,293974
"Lynn County, Texas",5897,5879,5777,5708,5771
"McCulloch County, Texas",8221,8271,8275,8261,8199
"McLennan County, Texas",235961,237867,239511,241807,243441
"McMullen County, Texas",712,703,738,772,805
"Madison County, Texas",13737,13727,13712,13819,13861
"Marion County, Texas",10513,10452,10323,10239,10149
"Martin County, Texas",4817,4911,5002,5291,5460
"Mason County, Texas",4013,4029,4044,4148,4071
"Matagorda County, Texas",36721,36714,36566,36537,36519
"Maverick County, Texas",54499,55308,55766,56510,57023
"Medina County, Texas",46153,46546,46867,47366,47894
"Menard County, Texas",2235,2220,2221,2143,2147
"Midland County, Texas",136981,140085,147090,151949,155830
"Milam County, Texas",24702,24646,24143,24191,24256
"Mills County, Texas",4953,4867,4831,4886,4870
"Mitchell County, Texas",9409,9385,9312,8998,9076
"Montague County, Texas",19720,19741,19529,19435,19416
"Montgomery County, Texas",459421,471836,485119,499818,518947
"Moore County, Texas",21996,22093,22399,22223,22148
"Morris County, Texas",12921,12820,12757,12782,12743
"Motley County, Texas",1205,1211,1195,1193,1153
"Nacogdoches County, Texas",64645,65632,65841,65190,65301
"Navarro County, Texas",47848,48056,48131,48133,48195
"Newton County, Texas",14439,14501,14328,14209,14138
"Nolan County, Texas",15240,15121,14877,15077,15093
"Nueces County, Texas",340320,343216,347933,352962,356221
"Ochiltree County, Texas",10173,10443,10621,10734,10758
"Oldham County, Texas",2050,2075,2047,2100,2070
"Orange County, Texas",81993,82328,82951,82980,83433
"Palo Pinto County, Texas",28102,28137,27883,27924,28096
"Panola County, Texas",23781,24026,23998,23825,23769
"Parker County, Texas",117294,118500,119757,120207,123164
"Parmer County, Texas",10285,10297,10162,9970,9908
"Pecos County, Texas",15536,15639,15591,15724,15893
"Polk County, Texas",45443,45645,45745,45871,46079
"Potter County, Texas",121390,122350,122754,122146,121627
"Presidio County, Texas",7874,7741,7540,7264,6976
"Rains County, Texas",10931,11023,10938,11016,11032
"Randall County, Texas",121190,123359,124897,126644,128220
"Reagan County, Texas",3351,3393,3476,3627,3755
"Real County, Texas",3324,3429,3372,3329,3371
"Red River County, Texas",12851,12695,12712,12505,12446
"Reeves County, Texas",13813,13761,13892,14077,14349
"Refugio County, Texas",7357,7310,7238,7268,7302
"Roberts County, Texas",925,933,950,923,928
"Robertson County, Texas",16588,16693,16490,16461,16500
"Rockwall County, Texas",78967,81136,82992,85290,87809
"Runnels County, Texas",10506,10561,10422,10302,10416
"Rusk County, Texas",53386,53768,55743,53973,53923
"Sabine County, Texas",10865,10681,10469,10389,10350
"San Augustine County, Texas",8846,8853,8836,8741,8610
"San Jacinto County, Texas",26439,26814,27000,26804,27099
"San Patricio County, Texas",64502,64500,65372,66257,66915
"San Saba County, Texas",6139,6046,5988,5712,5622
"Schleicher County, Texas",3499,3300,3249,3197,3162
"Scurry County, Texas",16954,16887,17106,17267,17328
"Shackelford County, Texas",3367,3342,3370,3374,3343
"Shelby County, Texas",25427,25695,25988,25865,25515
"Sherman County, Texas",3030,3035,3067,3085,3084
"Smith County, Texas",210455,212765,214941,216670,218842
"Somervell County, Texas",8509,8452,8594,8624,8694
"Starr County, Texas",61178,61727,61951,62390,62955
"Stephens County, Texas",9595,9507,9570,9350,9405
"Sterling County, Texas",1137,1168,1188,1230,1339
"Stonewall County, Texas",1495,1479,1470,1430,1403
"Sutton County, Texas",4060,4011,3930,4001,3972
"Swisher County, Texas",7895,7825,7882,7761,7581
"Tarrant County, Texas",1816784,1848435,1882822,1913943,1945360
"Taylor County, Texas",131863,132822,134104,133866,135143
"Terrell County, Texas",1007,955,926,905,927
"Terry County, Texas",12663,12653,12610,12739,12739
"Throckmorton County, Texas",1630,1637,1601,1598,1608
"Titus County, Texas",32408,32441,32693,32654,32506
"Tom Green County, Texas",110673,111823,113521,114955,116608
"Travis County, Texas",1030443,1062609,1097104,1122748,1151145
"Trinity County, Texas",14697,14636,14300,14401,14224
"Tyler County, Texas",21763,21673,21452,21453,21418
"Upshur County, Texas",39388,39770,39952,39790,40354
"Upton County, Texas",3346,3285,3254,3358,3454
"Uvalde County, Texas",26448,26574,26760,26916,27117
"Val Verde County, Texas",49008,49001,48953,49059,48974
"Van Zandt County, Texas",52656,52644,52355,52462,52910
"Victoria County, Texas",86849,87444,89276,90123,91081
"Walker County, Texas",68219,68296,68656,69452,69789
"Waller County, Texas",43441,44028,44353,45484,46820
"Ward County, Texas",10612,10696,10876,11245,11625
"Washington County, Texas",33749,33972,33866,34169,34438
"Webb County, Texas",251308,255618,259986,263772,266673
"Wharton County, Texas",41316,41250,41147,41215,41168
"Wheeler County, Texas",5407,5467,5607,5740,5714
"Wichita County, Texas",131791,130820,131702,132343,132355
"Wilbarger County, Texas",13505,13431,13262,13154,12973
"Willacy County, Texas",22202,22114,22107,21953,21903
"Williamson County, Texas",426541,442482,456593,471225,489250
"Wilson County, Texas",43074,43697,44432,45438,46402
"Winkler County, Texas",7084,7146,7344,7624,7821
"Wise County, Texas",59102,59936,60387,61003,61638
"Wood County, Texas",42031,42177,42525,42570,42852
"Yoakum County, Texas",7835,7971,8018,8160,8286
"Young County, Texas",18529,18344,18290,18356,18350
"Zapata County, Texas",14056,14192,14232,14356,14319
"Zavala County, Texas",11730,11861,11996,12211,12267
"Beaver County, Utah",6640,6521,6486,6462,6461
"Box Elder County, Utah",50153,50262,50269,50864,51518
"Cache County, Utah",113299,114842,115958,117326,118343
"Carbon County, Utah",21416,21328,21254,20931,20660
"Daggett County, Utah",1067,1158,1086,1130,1117
"Davis County, Utah",307779,311986,316018,322754,329692
"Duchesne County, Utah",18612,18732,19061,20106,20380
"Emery County, Utah",10971,10953,10901,10716,10631
"Garfield County, Utah",5183,5167,5088,5065,5024
"Grand County, Utah",9316,9288,9341,9367,9429
"Iron County, Utah",46264,46658,46730,46706,47269
"Juab County, Utah",10261,10343,10328,10327,10486
"Kane County, Utah",7153,7237,7217,7242,7254
"Millard County, Utah",12523,12609,12543,12628,12606
"Morgan County, Utah",9519,9650,9802,10198,10608
"Piute County, Utah",1556,1523,1528,1523,1484
"Rich County, Utah",2257,2320,2279,2276,2293
"Salt Lake County, Utah",1032942,1048397,1064402,1080866,1091742
"San Juan County, Utah",14805,14776,14899,14990,15251
"Sanpete County, Utah",27871,28027,28029,28243,28477
"Sevier County, Utah",20804,20903,20735,20844,20773
"Summit County, Utah",36503,37429,37893,38453,39105
"Tooele County, Utah",58490,59237,59820,60718,61598
"Uintah County, Utah",32429,33258,34636,35690,36867
"Utah County, Utah",519569,530053,539602,551926,560974
"Wasatch County, Utah",23673,24427,25374,26563,27714
"Washington County, Utah",138406,141502,144643,147719,151948
"Wayne County, Utah",2767,2758,2732,2732,2723
"Weber County, Utah",232118,233980,236540,238422,240475
"Addison County, Vermont",36811,36861,36837,36898,37009
"Bennington County, Vermont",37077,36812,36669,36692,36445
"Caledonia County, Vermont",31189,31130,31095,31151,30981
"Chittenden County, Vermont",156762,157679,158641,159818,160531
"Essex County, Vermont",6297,6323,6216,6196,6125
"Franklin County, Vermont",47788,48175,48253,48272,48642
"Grand Isle County, Vermont",6958,6983,6980,6982,6994
"Lamoille County, Vermont",24517,24659,24905,25050,25082
"Orange County, Vermont",28941,29025,28933,28879,28859
"Orleans County, Vermont",27225,27162,27159,27170,27082
"Rutland County, Vermont",61573,61243,60875,60545,60086
"Washington County, Vermont",59550,59543,59351,59221,58998
"Windham County, Vermont",44503,44229,43997,43808,43714
"Windsor County, Vermont",56601,56626,56227,56173,56014
"Accomack County, Virginia",33176,33294,33313,33021,33021
"Albemarle County, Virginia",99214,100667,102030,103014,104489
"Alleghany County, Virginia",16223,16320,16183,16121,15820
"Amelia County, Virginia",12740,12752,12745,12727,12855
"Amherst County, Virginia",32388,32120,32445,32193,32041
"Appomattox County, Virginia",15031,15003,15144,15230,15279
"Arlington County, Virginia",209395,216603,221947,226012,226908
"Augusta County, Virginia",73485,73752,73603,73835,73862
"Bath County, Virginia",4717,4676,4655,4607,4563
"Bedford County, Virginia",74941,75338,75431,75740,76583
"Bland County, Virginia",6823,6780,6710,6695,6625
"Botetourt County, Virginia",33188,33052,33157,33029,33100
"Brunswick County, Virginia",17424,17161,17063,16659,16498
"Buchanan County, Virginia",24028,23888,23837,23555,23106
"Buckingham County, Virginia",17107,17170,17043,17127,16913
"Campbell County, Virginia",54891,54812,54726,54851,54885
"Caroline County, Virginia",28615,28667,28939,29285,29778
"Carroll County, Virginia",30042,30031,29873,29837,29621
"Charles City County, Virginia",7260,7231,7148,7106,7023
"Charlotte County, Virginia",12547,12501,12411,12312,12225
"Chesterfield County, Virginia",317151,320292,323850,327892,332499
"Clarke County, Virginia",14049,14229,14316,14348,14423
"Craig County, Virginia",5176,5228,5198,5196,5234
"Culpeper County, Virginia",46816,47311,47767,48488,49166
"Cumberland County, Virginia",10043,10019,9851,9838,9827
"Dickenson County, Virginia",15870,15765,15668,15449,15308
"Dinwiddie County, Virginia",27998,28084,28100,27926,27859
"Essex County, Virginia",11154,11204,11167,11200,11103
"Fairfax County, Virginia",1086723,1105624,1121050,1134423,1137538
"Fauquier County, Virginia",65443,66105,66603,67233,68248
"Floyd County, Virginia",15334,15393,15426,15528,15578
"Fluvanna County, Virginia",25773,26002,25943,25916,26092
"Franklin County, Virginia",56221,56442,56392,56388,56358
"Frederick County, Virginia",78592,79499,80161,81257,82377
"Giles County, Virginia",17297,17104,16968,16939,16815
"Gloucester County, Virginia",36929,36878,36894,36848,37141
"Goochland County, Virginia",21751,21458,21350,21639,21936
"Grayson County, Virginia",15462,15365,15179,15176,15093
"Greene County, Virginia",18455,18696,18807,18839,19031
"Greensville County, Virginia",12233,12055,11824,11761,11681
"Halifax County, Virginia",36154,36001,35774,35389,35200
"Hanover County, Virginia",99921,99975,100432,101198,101918
"Henrico County, Virginia",307542,310550,315431,318943,321924
"Henry County, Virginia",54094,53274,52824,52527,52081
"Highland County, Virginia",2294,2279,2249,2219,2248
"Isle of Wight County, Virginia",35288,35274,35380,35643,36007
"James City County, Virginia",67751,68329,69532,70964,72583
"King and Queen County, Virginia",6970,7032,7068,7118,7175
"King George County, Virginia",23676,24279,24608,24950,25371
"King William County, Virginia",15977,15981,15977,16103,16186
"Lancaster County, Virginia",11369,11350,11230,11128,11044
"Lee County, Virginia",25543,25663,25539,25202,24951
"Loudoun County, Virginia",315505,326900,338165,350959,363050
"Louisa County, Virginia",33348,33499,33517,34004,34348
"Lunenburg County, Virginia",12898,12875,12599,12498,12466
"Madison County, Virginia",13295,13192,13207,13187,13157
"Mathews County, Virginia",8973,8963,8921,8922,8836
"Mecklenburg County, Virginia",32700,32578,31758,31336,31192
"Middlesex County, Virginia",10970,10834,10827,10758,10696
"Montgomery County, Virginia",94610,94841,95651,96696,97244
"Nelson County, Virginia",14981,15034,14807,14789,14850
"New Kent County, Virginia",18546,18754,19132,19482,20021
"Northampton County, Virginia",12397,12432,12237,12082,12121
"Northumberland County, Virginia",12350,12416,12354,12231,12251
"Nottoway County, Virginia",15834,15889,15776,15701,15579
"Orange County, Virginia",33485,33872,34187,34623,35026
"Page County, Virginia",24048,23990,23872,23769,23848
"Patrick County, Virginia",18476,18368,18403,18316,18264
"Pittsylvania County, Virginia",63571,63374,62898,62547,62383
"Powhatan County, Virginia",28079,28078,28116,28241,28449
"Prince Edward County, Virginia",23371,23223,23211,22820,23074
"Prince George County, Virginia",35619,36668,37036,37303,37333
"Prince William County, Virginia",406370,420004,431226,440166,446094
"Pulaski County, Virginia",34819,34749,34747,34512,34322
"Rappahannock County, Virginia",7499,7485,7430,7453,7361
"Richmond County, Virginia",9264,9189,9052,8951,8902
"Roanoke County, Virginia",92456,93004,93031,93694,93785
"Rockbridge County, Virginia",22280,22504,22392,22334,22327
"Rockingham County, Virginia",76354,77109,77375,77715,78171
"Russell County, Virginia",28842,28657,28426,28274,28023
"Scott County, Virginia",23125,22961,22801,22632,22384
"Shenandoah County, Virginia",42050,42283,42641,42729,43021
"Smyth County, Virginia",32193,32030,31863,31741,31555
"Southampton County, Virginia",18588,18571,18417,18186,18059
"Spotsylvania County, Virginia",123158,124823,126137,127696,129188
"Stafford County, Virginia",129787,132219,134374,136988,139992
"Surry County, Virginia",7060,6940,6840,6794,6790
"Sussex County, Virginia",12004,12091,11941,11808,11767
"Tazewell County, Virginia",45157,44690,44248,44107,43452
"Warren County, Virginia",37504,37650,37963,38607,38987
"Washington County, Virginia",54865,54735,55073,54763,54729
"Westmoreland County, Virginia",17444,17608,17497,17562,17477
"Wise County, Virginia",41594,41384,40828,40620,39935
"Wythe County, Virginia",29254,29228,29351,29339,29121
"York County, Virginia",65198,65810,65746,65944,66342
"Alexandria city, Virginia",140829,144461,146934,149312,150575
"Bristol city, Virginia",17855,17776,17724,17436,17184
"Buena Vista city, Virginia",6646,6721,6768,6675,6603
"Charlottesville city, Virginia",43546,43770,44521,45093,45593
"Chesapeake city, Virginia",223517,225333,228188,230431,233371
"Colonial Heights city, Virginia",17390,17369,17510,17708,17731
"Covington city, Virginia",5955,5855,5821,5833,5802
"Danville city, Virginia",42933,42586,42786,42770,42444
"Emporia city, Virginia",5922,5758,5704,5565,5462
"Fairfax city, Virginia",22604,22792,23461,24194,24483
"Falls Church city, Virginia",12446,12720,13136,13469,13601
"Franklin city, Virginia",8585,8431,8494,8632,8526
"Fredericksburg city, Virginia",24192,25641,27113,27862,28350
"Galax city, Virginia",7077,6877,6921,7014,7014
"Hampton city, Virginia",137416,136435,136843,136948,136879
"Harrisonburg city, Virginia",49072,49811,51224,51518,52478
"Hopewell city, Virginia",22641,22506,22322,22209,22196
"Lexington city, Virginia",7062,6934,7032,7232,7311
"Lynchburg city, Virginia",75773,76813,77788,78710,79047
"Manassas city, Virginia",38276,39358,40742,41725,42081
"Manassas Park city, Virginia",14409,14891,15079,15409,15174
"Martinsville city, Virginia",13740,13777,13747,13748,13711
"Newport News city, Virginia",180989,180356,180487,182015,182965
"Norfolk city, Virginia",242943,243723,246150,245480,245428
"Norton city, Virginia",3964,4015,4049,4017,4031
"Petersburg city, Virginia",32573,32159,32167,32593,32701
"Poquoson city, Virginia",12154,12055,12134,12125,12048
"Portsmouth city, Virginia",95495,95816,96546,96174,96004
"Radford city, Virginia",16452,16824,16766,17277,17646
"Richmond city, Virginia",204256,206977,211526,214704,217853
"Roanoke city, Virginia",96812,96810,97879,98815,99428
"Salem city, Virginia",24928,24854,25053,25282,25483
