County,2010,2011,2012,2013,2014
"Gadsden County, Florida",47814,47387,46653,46191,46281
"Gilchrist County, Florida",16987,16979,16872,16907,16997
"Glades County, Florida",12939,13150,13026,13201,13635
"Gulf County, Florida",15817,15670,15670,15805,15944
"Hamilton County, Florida",14672,14594,14699,14319,14048
"Hardee County, Florida",27767,27684,27414,27410,27469
"Hendry County, Florida",39044,38816,37686,37750,38505
"Hernando County, Florida",172947,172853,173102,174205,175855
"Highlands County, Florida",98703,98360,98087,97919,98236
"Hillsborough County, Florida",1234145,1271720,1282032,1294145,1316298
"Holmes County, Florida",19861,19821,19725,19649,19650
"Indian River County, Florida",138235,138973,140608,142021,144755
"Jackson County, Florida",49618,49126,48980,49000,48801
"Jefferson County, Florida",14745,14496,14193,14192,14050
"Lafayette County, Florida",8812,8808,8802,8846,8835
"Lake County, Florida",297910,299886,303450,308115,315690
"Lee County, Florida",620521,631412,644988,661336,679513
"Leon County, Florida",276063,278320,283854,282184,283988
"Levy County, Florida",40716,40267,39997,39694,39613
"Liberty County, Florida",8343,8233,8247,8328,8360
"Madison County, Florida",19255,19105,18915,18713,18518
"Manatee County, Florida",323510,327458,334071,342417,351746
"Marion County, Florida",331527,332507,334495,336159,339167
"Martin County, Florida",146978,147595,148846,151478,153392
"Miami-Dade County, Florida",2508689,2579916,2610960,2641866,2662874
"Monroe County, Florida",73226,74151,74991,76536,77136
"Nassau County, Florida",73543,74159,74640,75628,76619
"Okaloosa County, Florida",180751,183314,190437,193906,196512
"Okeechobee County, Florida",40039,39441,39285,39076,39149
"Orange County, Florida",1148953,1170411,1202076,1226764,1253001
"Osceola County, Florida",269811,278755,288970,299498,310211
"Palm Beach County, Florida",1324241,1338609,1358613,1376199,1397710
"Pasco County, Florida",465541,466552,470604,475695,485331
"Pinellas County, Florida",916701,917979,922265,930109,938098
"Polk County, Florida",603359,609696,615764,623159,634638
"Putnam County, Florida",74221,73928,73119,72543,72143
"St. Johns County, Florida",191257,196025,202264,209544,217919
"St. Lucie County, Florida",278268,280779,283559,286307,291028
"Santa Rosa County, Florida",152870,155697,158398,160811,163422
"Sarasota County, Florida",379952,381513,386050,390242,396962
"Seminole County, Florida",423012,427036,431405,436706,442516
"Sumter County, Florida",94287,98598,102823,108483,114350
"Suwannee County, Florida",42320,43385,43576,43718,44022
"Taylor County, Florida",22573,22678,22739,22879,22582
"Union County, Florida",15537,15239,15239,15086,15190
"Volusia County, Florida",494625,494458,497092,501201,507531
"Wakulla County, Florida",30853,30953,30823,31016,31432
"Walton County, Florida",55255,55640,57275,59403,61530
"Washington County, Florida",24760,24596,24857,24635,24451
"Appling County, Georgia",18337,18458,18379,18391,18540
"Atkinson County, Georgia",8365,8364,8247,8287,8223
"Bacon County, Georgia",11090,11191,11186,11230,11281
"Baker County, Georgia",3443,3323,3369,3321,3255
"Baldwin County, Georgia",45685,45081,46455,46139,45909
"Banks County, Georgia",18403,18330,18232,18325,18295
"Barrow County, Georgia",69681,69846,70171,71425,73240
"Bartow County, Georgia",100113,100242,100477,101289,101736
"Ben Hill County, Georgia",17639,17599,17545,17490,17464
"Berrien County, Georgia",19345,19342,19063,19005,18700
"Bibb County, Georgia",155630,155850,156184,154615,153905
"Bleckley County, Georgia",13054,13059,12897,12755,12795
"Brantley County, Georgia",18465,18581,18555,18299,18417
"Brooks County, Georgia",16278,15968,15537,15631,15418
"Bryan County, Georgia",30401,31238,32246,33133,33906
"Bulloch County, Georgia",70638,72842,72824,71308,72087
"Burke County, Georgia",23360,23559,23128,22925,22709
"Butts County, Georgia",23739,23562,23454,23222,23368
"Calhoun County, Georgia",6712,6549,6502,6517,6463
"Camden County, Georgia",50689,50332,51402,51517,52027
"Candler County, Georgia",11017,11304,11125,10944,10888
"Carroll County, Georgia",110704,110722,111453,112388,114093
"Catoosa County, Georgia",64020,64839,64961,65335,65621
"Charlton County, Georgia",12831,13410,13308,13044,12897
"Chatham County, Georgia",265996,272002,276710,278428,283379
"Chattahoochee County, Georgia",11179,11293,12570,12350,11837
"Chattooga County, Georgia",25980,25705,25676,25120,24939
"Cherokee County, Georgia",215216,217770,220914,224869,230985
"Clarke County, Georgia",117484,118509,120270,121206,120938
"Clay County, Georgia",3160,3150,3102,3037,3102
"Clayton County, Georgia",259824,262643,266253,264843,267542
"Clinch County, Georgia",6788,6750,6715,6802,6831
"Cobb County, Georgia",689692,697682,708036,718208,730981
"Coffee County, Georgia",42738,42964,43093,43129,42811
"Colquitt County, Georgia",45648,45804,46095,46288,46102
"Columbia County, Georgia",124955,128753,132556,136287,139257
"Cook County, Georgia",17226,16979,16859,17025,17214
"Coweta County, Georgia",127946,129480,130878,133222,135571
"Crawford County, Georgia",12587,12605,12619,12481,12387
"Crisp County, Georgia",23407,23785,23657,23232,22934
